"","ID","GMCF_2615_053","GMCF_2615_054","GMCF_2615_056","GMCF_2615_057","GMCF_2615_059","GMCF_2615_061","GMCF_2615_063","GMCF_2615_065","GMCF_2615_066","GMCF_2615_120","GMCF_2615_121","GMCF_2615_123","GMCF_2615_124","GMCF_2615_126","GMCF_2615_128","GMCF_2615_130","GMCF_2615_132","GMCF_2615_133","pcrblank1","pcrblank2","pcrblank3","pcrblank4","lambdaDNA1","GMCF_2615_053_Illumina","GMCF_2615_054_Illumina","GMCF_2615_055_Illumina","GMCF_2615_057_Illumina","GMCF_2615_058_Illumina","GMCF_2615_059_Illumina","GMCF_2615_060_Illumina","GMCF_2615_061_Illumina","GMCF_2615_062_Illumina","GMCF_2615_063_Illumina","GMCF_2615_064_Illumina","GMCF_2615_065_Illumina","GMCF_2615_066_Illumina","GMCF_2615_067_Illumina","GMCF_2615_068_Illumina","GMCF_2615_120_Illumina","GMCF_2615_121_Illumina","GMCF_2615_122_Illumina","GMCF_2615_123_Illumina","GMCF_2615_124_Illumina","GMCF_2615_125_Illumina","GMCF_2615_126_Illumina","GMCF_2615_127_Illumina","GMCF_2615_128_Illumina","GMCF_2615_129_Illumina","GMCF_2615_130_Illumina","GMCF_2615_131_Illumina","GMCF_2615_132_Illumina","GMCF_2615_133_Illumina","GMCF_2615_134_Illumina","GMCF_2615_135_Illumina","GMCF_2615_NTC1_Illumina"
"11","Unclassified Micrococcales",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,30,0,0,0,0,1,22,62,15,1,0,3,1,0,0,0,0,0,0,17,0,13,0,13,0,0,0,0,1997,0,0
"12","Corynebacteriaceae",0,7,1,4,1,1,1,1,0,8,0,5,3,2,0,2,1,4,1,0,0,0,65,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,31,0,0,0,5,0,0,0,0,11,0,0,0,0
"13","Mycobacteriaceae",0,0,0,0,1,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,586,15,9,0,0,74,83,323,44,32,0,13,18,0,1,0,1,24,2,2,1,6,0,40,6,17,1,2,2063,0,0
"14","Nocardiaceae",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77,242,168,8,0,2,482,702,719,153,197,17,1379,40,0,3,64,4,271,0,3,58,50,0,386,89,7,4,129,5201,0,4
"15","Unclassified Mycobacteriales",1,1,0,0,1,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,2,0,0,0,0,2,3,0,0,0,0,0,0,0,4,1,4,0,0,0,0,0,1,0,0,0,0,94,0,0
"16","Propionibacteriaceae",1,0,2,0,0,4,0,1,0,2,4,2,1,3,0,0,2,0,0,0,0,0,0,76,883,87,70,0,28,767,2,90,666,42,12,983,22,10,2,0,1,924,48,267,24,115,0,90,27,206,25,55,1986,14,45
"17","Unclassified Propionibacteriales",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"18","Unclassified Actinomycetes",0,1,1,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,10,909,22,4,0,0,91,112,204,115,1,0,80,21,0,0,0,0,73,0,0,0,76,0,68,0,0,0,5,13701,0,2
"19","Rubrobacteraceae",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Unclassified Actinomycetota",0,1,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,3,374,0,0,0,0,10,8,8,60,26,0,96,2,0,0,0,0,0,0,0,0,49,0,6,0,0,0,0,5595,0,0
