"sample_id","figure_5"
"7_SAFc_Ma_L1","5A"
"7_SAFc_Ma_L2","5A"
"7_SAFc_Ma_L3","5A"
"7_SAFc_Ma_L4","5A"
"7_SAFc_Ma_L5","5A"
"7_SAFc_Ma_L6","5A"
"7_SAFc_Ma_L7","5A"
"7_SAFm_Ma_L1","5A"
"7_SAFm_Ma_L2","5A"
"7_SAFm_Ma_L3","5A"
"7_SAFm_Ma_L4","5A"
"7_SAFm_Ma_L5","5A"
"7_SAFm_Ma_L6","5A"
"7_SAFm_Ma_L7","5A"
"7_SAFp_Ma_L1","5B"
"7_SAFp_Ma_L2","5B"
"7_SAFp_Ma_L3","5B"
"7_SAFp_Ma_L4","5B"
"7_SAFp_Ma_L5","5B"
"7_SAFp_Ma_L6","5B"
"7_SAFp_Ma_L7","5B"
"7_SAFs_Ma_L1","5B"
"7_SAFs_Ma_L2","5B"
"7_SAFs_Ma_L3","5B"
"7_SAFs_Ma_L4","5B"
"7_SAFs_Ma_L5","5B"
"7_SAFs_Ma_L6","5B"
"7_SAFs_Ma_L7","5B"
"15_SAFc_Ma_L1","5A"
"15_SAFc_Ma_L2","5A"
"15_SAFc_Ma_L3","5A"
"15_SAFc_Ma_L4","5A"
"15_SAFc_Ma_L5","5A"
"15_SAFc_Ma_L6","5A"
"15_SAFc_Ma_L7","5A"
"15_SAFm_Ma_L1","5A"
"15_SAFm_Ma_L2","5A"
"15_SAFm_Ma_L3","5A"
"15_SAFm_Ma_L4","5A"
"15_SAFm_Ma_L5","5A"
"15_SAFm_Ma_L6","5A"
"15_SAFm_Ma_L7","5A"
"17_SAFc_Ma_L1","5A"
"17_SAFc_Ma_L2","5A"
"17_SAFc_Ma_L3","5A"
"17_SAFc_Ma_L4","5A"
"17_SAFc_Ma_L5","5A"
"17_SAFc_Ma_L6","5A"
"17_SAFc_Ma_L7","5A"
"17_SAFm_Ma_L1","5A"
"17_SAFm_Ma_L2","5A"
"17_SAFm_Ma_L3","5A"
"17_SAFm_Ma_L4","5A"
"17_SAFm_Ma_L5","5A"
"17_SAFm_Ma_L6","5A"
"17_SAFm_Ma_L7","5A"
"18_SAFc_Ma_L1","5A"
"18_SAFc_Ma_L2","5A"
"18_SAFc_Ma_L3","5A"
"18_SAFc_Ma_L4","5A"
"18_SAFc_Ma_L5","5A"
"18_SAFc_Ma_L6","5A"
"18_SAFc_Ma_L7","5A"
"18_SAFc_Ma_L8","5A"
"18_SAFc_Ma_L9","5A"
"18_SAFc_Ma_L10","5A"
"18_SAFc_Ma_L11","5A"
"18_SAFc_Ma_L12","5A"
"18_SAFc_Ma_L13","5A"
"18_SAFc_Ma_L14","5A"
"18_SAFc_Ma_L15","5A"
"18_SAFc_Ma_L16","5A"
"18_SAFm_Ma_L1","5A"
"18_SAFm_Ma_L2","5A"
"18_SAFm_Ma_L3","5A"
"18_SAFm_Ma_L4","5A"
"18_SAFm_Ma_L5","5A"
"18_SAFm_Ma_L6","5A"
"18_SAFm_Ma_L7","5A"
"18_SAFm_Ma_L8","5A"
"18_SAFm_Ma_L9","5A"
"18_SAFm_Ma_L10","5A"
"18_SAFm_Ma_L11","5A"
"18_SAFm_Ma_L12","5A"
"18_SAFm_Ma_L13","5A"
"18_SAFm_Ma_L14","5A"
"18_SAFm_Ma_L15","5A"
"18_SAFm_Ma_L16","5A"
