"sample_id","figure_2"
"6_NCw_Ma_1","2"
"6_NCw_Qi_1","2"
"7_NCec_Ma_1","2"
"7_NCem_Ma_1","2"
"7_NCw_Ma_1","2"
"7_NCw_Ma_2","2"
"14_NCc_Ma_1","2"
"14_NCw_Ma_1","2"
"14_NCc_Qi_1","2"
"14_NCm_Qi_1","2"
"14_NCw_Qi_1","2"
"15_NCc_Ma_1","2"
"15_NCec_Ma_1","2"
"15_NCem_Ma_1","2"
"15_NCw_Ma_1","2"
"15_NCw_Ma_2","2"
"17_NCc_Ma_1","2"
"17_NCec_Ma_1","2"
"17_NCem_Ma_1","2"
"17_NCm_Ma_1","2"
"17_NCw_1","2"
"17_NCw_2","2"
"18_NCc_Ma_1","2"
"18_NCw_Ma_1","2"
"18_NCem_Ma_1","2"
"18_NCw_Ma_2","2"
"6-NTC-1","2"
"6-NTC-2","2"
"7-NTC","2"
"14-NTC-1","2"
"14-NTC-2","2"
"15-NTC-1","2"
"15-NTC-2","2"
"18-NTC-1","2"
"12_NCw_100_Ma_1","2"
"12_NCw_100_Ma_2","2"
"12_NCw_100_Qi_1","2"
"12_NCw_100_Qi_2","2"
"12_NCw_400_Ma_1","2"
"12_NCw_400_Ma_2","2"
"12_NCw_400_Qi_1","2"
"12_NCw_400_Qi_2","2"
"2_NTC_R_1","2"
"3_NTC_R_1","2"
"5_NCw_1","2"
"5_NCw_2","2"
"5-NTC-1","2"
"5-NTC-2","2"
"8-NTC-1","2"
"8-NTC-2","2"
"2_Asc_NCw_R_1","2"
"2_Asm_NCw_R_1","2"
"2_Asc_NCm_R_1","2"
"2_Asm_NCm_R_1","2"
"2_Msc_DCCA_R_1","2"
"2_Msc_DCCA_R_2","2"
"2_Msc_DCCA_R_3","2"
"2_Msc_DCCA_R_4","2"
"2_Msc_NR_R_1","2"
"2_Msc_NR_R_2","2"
"2_Msc_DCMA_R_1","2"
"2_Msc_DCMA_R_2","2"
"2_Msc_DCMA_R_3","2"
"2_Msc_DCMA_R_4","2"
"2_Msm_NR_R_1","2"
"2_Msm_NR_R_2","2"
"2_Mt_NR_R_NC_1","2"
"2_Mt_NR_R_NC_2","2"
"3_Msc_DCCA_R_1","2"
"3_Msc_DCCA_R_2","2"
"3_Msc_DCCA_R_3","2"
"3_Msc_DCCA_R_4","2"
"3_Msc_NR_R_1","2"
"3_Msc_NR_R_2","2"
"3_Msc_DCMA_R_1","2"
"3_Msc_DCMA_R_2","2"
"3_Msc_DCMA_R_3","2"
"3_Msc_DCMA_R_4","2"
"3_Msm_NR_R_1","2"
"3_Msm_NR_R_2","2"
"3_Mt_NR_R_NC_1","2"
"3_Mt_NR_R_NC_2","2"
"13_Asc_NCw_Qi_1","2"
"13_Asm_NCw_Qi_1","2"
"16_Asm_NCw_Ma_1","2"
"16_Asm_NCw_Qi_1","2"
"NTC_001","2"
"NTC_002","2"
"NTC_003","2"
"NTC_004","2"
"NTC_005","2"
"NTC_006","2"
"NTC_007","2"
"NTC_008","2"
"NTC_011","2"
"NTC_012","2"
"NTC_013","2"
"NTC_014","2"
"NTC_015","2"
"NTC_016","2"
