"","Phylum_Reads","Family_Reads","Genus_Reads","Species_Reads"
"2_A4_R_1",598986,598986,598986,598986
"2_A5_R_1",19401456,19401456,19401456,19401456
"2_A6_R_1",35434296,35434296,35434296,35434296
"2_At_R_1",28345938,28345938,28345938,28345938
"3_A1_R_1",110,110,110,110
"3_A2_R_1",172,172,172,172
"3_A3_R_1",2658,2658,2658,2658
"3_A4_R_1",179264,179264,179264,179264
"3_A5_R_1",8812540,8812540,8812540,8812540
"3_A6_R_1",39190524,39190524,39190524,39190524
"3_At_R_1",30899156,30899156,30899156,30899156
"4_Asc_Re_R_1",30133612,30133612,30133612,30133612
"4_Asc_Re_R_2",15434564,15434564,15434564,15434564
"4_Asc_Re_R_3",24111470,24111470,24111470,24111470
"4_Asc_Re_R_4",19936036,19936036,19936036,19936036
"4_Asc_Re_R_5",18885974,18885974,18885974,18885974
"4_Asc_Re_R_6",23721996,23721996,23721996,23721996
"4_Asc_Re_R_7",36205318,36205318,36205318,36205318
"4_Asc_Re_R_8",30832562,30832562,30832562,30832562
"2_Asm_Re_R_1",10571104,10571104,10571104,10571104
"2_Asm_Re_R_2",8657392,8657392,8657392,8657392
"2_Asm_Re_R_3",7141704,7141704,7141704,7141704
"2_Asm_Re_R_4",23319584,23319584,23319584,23319584
"3_Asm_Re_R_1",30234774,30234774,30234774,30234774
"3_Asm_Re_R_2",24005920,24005920,24005920,24005920
"3_Asm_Re_R_3",21923218,21923218,21923218,21923218
"3_Asm_Re_R_4",32235308,32235308,32235308,32235308
"4_Asm_Re_R_1",30305468,30305468,30305468,30305468
"4_Asm_Re_R_2",24773818,24773818,24773818,24773818
"4_Asm_Re_R_3",33839964,33839964,33839964,33839964
"4_Asm_Re_R_4",22424270,22424270,22424270,22424270
"4_Asm_Re_R_5",29647580,29647580,29647580,29647580
"4_Asm_Re_R_6",25225736,25225736,25225736,25225736
"4_Asm_Re_R_7",15541382,15541382,15541382,15541382
"4_Asm_Re_R_8",17827410,17827410,17827410,17827410
"2_Mt_NR_R_NC_1",414,414,414,414
"2_Mt_NR_R_NC_2",634,634,634,634
"3_Mt_NR_R_NC_1",76,76,76,76
"3_Mt_NR_R_NC_2",56,56,56,56
"2_NTC_R_1",208,208,208,208
