"","Phylum_Reads","Family_Reads","Genus_Reads","Species_Reads"
"15_SAFc_Ma_L1",708078,708078,708078,708078
"15_SAFc_Ma_L2",561286,561286,561286,561286
"15_SAFc_Ma_L3",873212,873212,873212,873212
"15_SAFc_Ma_L4",2210912,2210912,2210912,2210912
"15_SAFc_Ma_L5",570108,570108,570108,570108
"15_SAFc_Ma_L6",480692,480692,480692,480692
"15_SAFc_Ma_L7",55590380,55590380,55590380,55590380
"15_SAFm_Ma_L1",20644856,20644856,20644856,20644856
"15_SAFm_Ma_L2",16892,16892,16892,16892
"15_SAFm_Ma_L3",900328,900328,900328,900328
"15_SAFm_Ma_L4",576014,576014,576014,576014
"15_SAFm_Ma_L5",492352,492352,492352,492352
"15_SAFm_Ma_L6",720154,720154,720154,720154
"15_SAFm_Ma_L7",21036,21036,21036,21036
"15_NCc_Ma_1",2998,2998,2998,2998
"15_NCec_Ma_1",1644,1644,1644,1644
"15_NCem_Ma_1",2246,2246,2246,2246
"15_NCm_Ma_1",442,442,442,442
"15_NCw_Ma_1",270,270,270,270
"15_NCw_Ma_2",210,210,210,210
"15_PC_Ma_1",37270904,37270904,37270904,37270904
"15_PCc_Ma_1",34886300,34886300,34886300,34886300
"17_SAFc_Ma_L1",5846698,5846698,5846698,5846698
"17_SAFc_Ma_L2",1466806,1466806,1466806,1466806
"17_SAFc_Ma_L3",665392,665392,665392,665392
"17_SAFc_Ma_L4",3683408,3683408,3683408,3683408
"17_SAFc_Ma_L5",1510740,1510740,1510740,1510740
"17_SAFc_Ma_L6",3172350,3172350,3172350,3172350
"17_SAFc_Ma_L7",1951064,1951064,1951064,1951064
"17_SAFm_Ma_L1",562782,562782,562782,562782
"17_SAFm_Ma_L2",476286,476286,476286,476286
"17_SAFm_Ma_L3",165938,165938,165938,165938
"17_SAFm_Ma_L4",724586,724586,724586,724586
"17_SAFm_Ma_L5",1676924,1676924,1676924,1676924
"17_SAFm_Ma_L6",877128,877128,877128,877128
"17_SAFm_Ma_L7",1695734,1695734,1695734,1695734
"17_NCc_Ma_1",2170,2170,2170,2170
"17_NCcw_Ma_1",1178,1178,1178,1178
"17_NCec_Ma_1",444,444,444,444
"17_NCem_Ma_1",396,396,396,396
"17_NCm_Ma_1",1106,1106,1106,1106
"17_NCmw_Ma_1",350,350,350,350
"17_NCw_1",306,306,306,306
"17_NCw_2",244,244,244,244
"17_PCc_Ma_1",11865464,11865464,11865464,11865464
"17_PCc_Ma_2",18312816,18312816,18312816,18312816
"18_SAFc_Ma_L1",768556,768556,768556,768556
"18_SAFc_Ma_L2",2454390,2454390,2454390,2454390
"18_SAFc_Ma_L3",2028574,2028574,2028574,2028574
"18_SAFc_Ma_L4",618232,618232,618232,618232
"18_SAFc_Ma_L5",2472430,2472430,2472430,2472430
"18_SAFc_Ma_L6",5609980,5609980,5609980,5609980
"18_SAFc_Ma_L7",368118,368118,368118,368118
"18_SAFc_Ma_L8",1374210,1374210,1374210,1374210
"18_SAFc_Ma_L9",1795606,1795606,1795606,1795606
"18_SAFc_Ma_L10",935672,935672,935672,935672
"18_SAFc_Ma_L11",7064664,7064664,7064664,7064664
"18_SAFc_Ma_L12",3274278,3274278,3274278,3274278
"18_SAFc_Ma_L13",3624888,3624888,3624888,3624888
"18_SAFc_Ma_L14",2013852,2013852,2013852,2013852
"18_SAFc_Ma_L15",2443650,2443650,2443650,2443650
"18_SAFc_Ma_L16",1898464,1898464,1898464,1898464
"18_SAFm_Ma_L1",304004,304004,304004,304004
"18_SAFm_Ma_L2",589722,589722,589722,589722
"18_SAFm_Ma_L3",677056,677056,677056,677056
"18_SAFm_Ma_L4",333916,333916,333916,333916
"18_SAFm_Ma_L5",986006,986006,986006,986006
"18_SAFm_Ma_L6",678614,678614,678614,678614
"18_SAFm_Ma_L7",468358,468358,468358,468358
"18_SAFm_Ma_L8",18796,18796,18796,18796
"18_SAFm_Ma_L9",451634,451634,451634,451634
"18_SAFm_Ma_L10",26068,26068,26068,26068
"18_SAFm_Ma_L11",41910,41910,41910,41910
"18_SAFm_Ma_L12",513626,513626,513626,513626
"18_SAFm_Ma_L13",10424,10424,10424,10424
"18_SAFm_Ma_L14",22384,22384,22384,22384
"18_SAFm_Ma_L15",1399414,1399414,1399414,1399414
"18_SAFm_Ma_L16",456488,456488,456488,456488
"18_NCc_Ma_1",1822,1822,1822,1822
"18_NCcw_Ma_1",1556,1556,1556,1556
"18_NCec_Ma_1",4306,4306,4306,4306
"18_NCw_Ma_1",312,312,312,312
"18_PCc_Ma_1",16916408,16916408,16916408,16916408
"18_NCm_Ma_1",336,336,336,336
"18_NCmw_Ma_1",3422,3422,3422,3422
"18_NCem_Ma_1",790,790,790,790
"18_NCw_Ma_2",104,104,104,104
"18_PCc_Ma_2",22955544,22955544,22955544,22955544
"12_PCc_400_Qi_R_4",85112396,85112396,85112396,85112396
"5_A2_Ma_1",5180,5180,5180,5180
"5_A3_Ma_1",252292,252292,252292,252292
"5_A3_Ma_2",54422,54422,54422,54422
"5_A4_Ma_1",18172326,18172326,18172326,18172326
"5_A4_Ma_2",15202456,15202456,15202456,15202456
"5_A5_Ma_1",7283552,7283552,7283552,7283552
"5_A5_Ma_2",11820552,11820552,11820552,11820552
"5_A6_Ma_1",17632384,17632384,17632384,17632384
"5_A6_Ma_2",17494216,17494216,17494216,17494216
"5_NC_Ma_1",484,484,484,484
"5_A2_Qi_1",594112,594112,594112,594112
"5_A3_Qi_1",14440350,14440350,14440350,14440350
"5_A3_Qi_2",19932048,19932048,19932048,19932048
"5_A4_Qi_1",19752942,19752942,19752942,19752942
"5_A4_Qi_2",17990582,17990582,17990582,17990582
"5_A5_Qi_1",25611786,25611786,25611786,25611786
"5_A5_Qi_2",17627964,17627964,17627964,17627964
"5_A6_Qi_1",16900420,16900420,16900420,16900420
"5_A6_Qi_2",16713056,16713056,16713056,16713056
"5_NC_Qi_1",2364,2364,2364,2364
"5_NCw_1",708,708,708,708
"5_NCw_2",368,368,368,368
"8_A2_Ma_1",5624,5624,5624,5624
"8_A3_Ma_1",100514,100514,100514,100514
"8_A3_Ma_2",1316470,1316470,1316470,1316470
"8_A4_Ma_1",17257142,17257142,17257142,17257142
"8_A4_Ma_2",15862182,15862182,15862182,15862182
"8_A5_Ma_1",15727484,15727484,15727484,15727484
"8_A5_Ma_2",16407920,16407920,16407920,16407920
"8_A6_Ma_1",19872422,19872422,19872422,19872422
"8_A6_Ma_2",22060530,22060530,22060530,22060530
"8_NC_Ma_1",574,574,574,574
"8_A2_Qi_1",1136322,1136322,1136322,1136322
"8_A3_Qi_1",7563956,7563956,7563956,7563956
"8_A3_Qi_2",9088558,9088558,9088558,9088558
"8_A4_Qi_1",16741522,16741522,16741522,16741522
"8_A4_Qi_2",16729802,16729802,16729802,16729802
"8_A5_Qi_1",16562672,16562672,16562672,16562672
"8_A5_Qi_2",15744586,15744586,15744586,15744586
"8_A6_Qi_1",21130848,21130848,21130848,21130848
"8_A6_Qi_2",18588968,18588968,18588968,18588968
"8_NC_Qi_1",1358,1358,1358,1358
"8_NCw_Qi_1",1326,1326,1326,1326
"8_NCw_Ma_2",302,302,302,302
"11_Alp_Re_1",545128,545128,545128,545128
"11_Alp_Re_2",81516,81516,81516,81516
"11_Alp_Re_3",65140,65140,65140,65140
"11_Alp_Re_4",158878,158878,158878,158878
"11_Als_Re_1",16492946,16492946,16492946,16492946
"11_Als_Re_2",5923258,5923258,5923258,5923258
"11_Als_Re_3",18064492,18064492,18064492,18064492
"11_Als_Re_4",16025284,16025284,16025284,16025284
"11_Asc_Re_1",11865842,11865842,11865842,11865842
"11_Asc_Re_2",17683544,17683544,17683544,17683544
"11_Asc_Re_3",8318974,8318974,8318974,8318974
"11_Asc_Re_4",13526666,13526666,13526666,13526666
"11_Asm_Re_1",15436338,15436338,15436338,15436338
"11_Asm_Re_2",17766032,17766032,17766032,17766032
"11_Asm_Re_3",8591662,8591662,8591662,8591662
"11_Asm_Re_4",10347016,10347016,10347016,10347016
"11_PCc_100_Ma_1",16513272,16513272,16513272,16513272
"11_PCc_100_Ma_2",14422600,14422600,14422600,14422600
"11_PCc_100_Ma_3",15243532,15243532,15243532,15243532
"11_PCc_100_Ma_4",16796776,16796776,16796776,16796776
"11_PCc_400_Ma_1",14245632,14245632,14245632,14245632
"11_PCc_400_Ma_2",11735318,11735318,11735318,11735318
"11_PCc_400_Ma_3",9438522,9438522,9438522,9438522
"11_PCc_400_Ma_4",12843446,12843446,12843446,12843446
"12_NCw_100_Ma_1",329122,329122,329122,329122
"12_NCw_100_Ma_2",1862,1862,1862,1862
"12_NCw_100_Qi_1",90,90,90,90
"12_NCw_100_Qi_2",312,312,312,312
"12_NCw_400_Ma_1",350,350,350,350
"12_NCw_400_Ma_2",216,216,216,216
"12_NCw_400_Qi_1",9248,9248,9248,9248
"12_NCw_400_Qi_2",254,254,254,254
"12_PCc_100_Ma_1",14911488,14911488,14911488,14911488
"12_PCc_100_Ma_2",12818234,12818234,12818234,12818234
"12_PCc_100_Ma_3",14986880,14986880,14986880,14986880
"12_PCc_100_Ma_4",15499652,15499652,15499652,15499652
"12_PCc_100_Qi_1",12661776,12661776,12661776,12661776
"12_PCc_100_Qi_2",15352306,15352306,15352306,15352306
"12_PCc_100_Qi_3",12590826,12590826,12590826,12590826
"12_PCc_100_Qi_4",13992440,13992440,13992440,13992440
"12_PCc_400_Ma_1",16499126,16499126,16499126,16499126
"12_PCc_400_Ma_2",17417110,17417110,17417110,17417110
"12_PCc_400_Ma_3",11999472,11999472,11999472,11999472
"12_PCc_400_Ma_4",14548374,14548374,14548374,14548374
"12_PCc_400_Qi_1",13390690,13390690,13390690,13390690
"12_PCc_400_Qi_2",22218372,22218372,22218372,22218372
"12_PCc_400_Qi_3",14109438,14109438,14109438,14109438
"13_Asc_NCw_Ma_1",2354,2354,2354,2354
"13_Asc_SHR_Ma_1",12117464,12117464,12117464,12117464
"13_Asc_SHR_Ma_2",23606446,23606446,23606446,23606446
"13_Asc_SHR_Ma_3",16064568,16064568,16064568,16064568
"13_Asc_SHR_Ma_4",19700366,19700366,19700366,19700366
"13_Asm_NCw_Ma_1",104,104,104,104
"13_Asm_SHR_Ma_1",20630090,20630090,20630090,20630090
"13_Asm_SHR_Ma_2",25048,25048,25048,25048
"13_Asm_SHR_Ma_3",8020498,8020498,8020498,8020498
"13_Asm_SHR_Ma_4",465568,465568,465568,465568
"13_SHR_PCc_Ma_1",12194,12194,12194,12194
"13_SHR_PCn_Ma_1",6904418,6904418,6904418,6904418
"13_Asc_NCw_Qi_1",428,428,428,428
"13_Asc_SHR_Qi_1",17284284,17284284,17284284,17284284
"13_Asc_SHR_Qi_2",19986478,19986478,19986478,19986478
"13_Asc_SHR_Qi_3",22674036,22674036,22674036,22674036
"13_Asc_SHR_Qi_4",20063316,20063316,20063316,20063316
"13_Asm_NCw_Qi_1",4552,4552,4552,4552
"13_Asm_SHR_Qi_1",12405206,12405206,12405206,12405206
"13_Asm_SHR_Qi_2",13797318,13797318,13797318,13797318
"13_Asm_SHR_Qi_3",10479530,10479530,10479530,10479530
"13_Asm_SHR_Qi_4",6886104,6886104,6886104,6886104
"13_SHR_PCc_Qi_1",16280418,16280418,16280418,16280418
"13_SHR_PCn_Qi_1",17478932,17478932,17478932,17478932
"16_Asc_NCw_Ma_1",404,404,404,404
"16_Asc_SHR_Ma_1",18418078,18418078,18418078,18418078
"16_Asc_SHR_Ma_2",21939320,21939320,21939320,21939320
"16_Asc_SHR_Ma_3",17445340,17445340,17445340,17445340
"16_Asc_SHR_Ma_4",20853964,20853964,20853964,20853964
"16_Asm_NCw_Ma_1",3116,3116,3116,3116
"16_Asm_SHR_Ma_1",20599582,20599582,20599582,20599582
"16_Asm_SHR_Ma_2",20172262,20172262,20172262,20172262
"16_Asm_SHR_Ma_3",16220488,16220488,16220488,16220488
"16_Asm_SHR_Ma_4",14882286,14882286,14882286,14882286
"16_SHR_PCc_Ma_1",12986122,12986122,12986122,12986122
"16_SHR_PCn_Ma_1",13246320,13246320,13246320,13246320
"16_Asc_NCw_Qi_1",1618,1618,1618,1618
"16_Asc_SHR_Qi_1",27074220,27074220,27074220,27074220
"16_Asc_SHR_Qi_2",20248072,20248072,20248072,20248072
"16_Asc_SHR_Qi_3",16899286,16899286,16899286,16899286
"16_Asc_SHR_Qi_4",15968550,15968550,15968550,15968550
"16_Asm_NCw_Qi_1",6288,6288,6288,6288
"16_Asm_SHR_Qi_1",8844966,8844966,8844966,8844966
"16_Asm_SHR_Qi_2",13555818,13555818,13555818,13555818
"16_Asm_SHR_Qi_3",13893548,13893548,13893548,13893548
"16_Asm_SHR_Qi_4",23094208,23094208,23094208,23094208
"16_SHR_PCc_Qi_1",20197986,20197986,20197986,20197986
"16_SHR_PCn_Qi_1",11159722,11159722,11159722,11159722
"D1_A_SD",326884,326884,326884,326884
"D1_B_SD",102960,102960,102960,102960
"D1_C_SD",636154,636154,636154,636154
"D1_D_SD",1298570,1298570,1298570,1298570
"D2_A_SD",5540,5540,5540,5540
"D2_B_SD",6760,6760,6760,6760
"D2_C_SD",14022,14022,14022,14022
"D2_D_SD",4948,4948,4948,4948
"D3_A_SD",720,720,720,720
"D3_B_SD",532,532,532,532
"D3_D_SD",478,478,478,478
"D4_A_SD",162,162,162,162
"D4_B_SD",1158,1158,1158,1158
"D4_C_SD",1276,1276,1276,1276
"D4_D_SD",602,602,602,602
"D1_A_CD",13125040,13125040,13125040,13125040
"D1_B_CD",11245968,11245968,11245968,11245968
"D1_C_CD",8937008,8937008,8937008,8937008
"D1_D_CD",14478306,14478306,14478306,14478306
"D2_A_CD",19950,19950,19950,19950
"D2_B_CD",19314,19314,19314,19314
"D2_C_CD",72732,72732,72732,72732
"D2_D_CD",25576,25576,25576,25576
"D3_A_CD",3700,3700,3700,3700
"D3_B_CD",2102,2102,2102,2102
"D3_C_CD",1480,1480,1480,1480
"D3_D_CD",1716,1716,1716,1716
"D4_A_CD",934,934,934,934
"D4_B_CD",406,406,406,406
"D4_C_CD",566,566,566,566
"D4_D_CD",1116,1116,1116,1116
"Pw1",29630,29630,29630,29630
"Pw2",23608,23608,23608,23608
"Pw3",19232,19232,19232,19232
"Pw4",13022,13022,13022,13022
"Pw5",29906,29906,29906,29906
"Pw6",12774,12774,12774,12774
"Pw7",26102,26102,26102,26102
"Pw8",51024,51024,51024,51024
"Pw9",18440,18440,18440,18440
"Pw10",12770,12770,12770,12770
"Pw11",6418,6418,6418,6418
"Pw12",16674,16674,16674,16674
"Pw13",320,320,320,320
"Pw14",358,358,358,358
"Pw15",146,146,146,146
"Cs1",100,100,100,100
"Cs2",118,118,118,118
"Cs3",34,34,34,34
"Cs4",334,334,334,334
"Cs5",182,182,182,182
"Cs6",108,108,108,108
"Cs7",538,538,538,538
"Cs8",7378,7378,7378,7378
"Cs9",276,276,276,276
"Cs10",70,70,70,70
"Cs11",186,186,186,186
"Cs12",794,794,794,794
"Cs13",296,296,296,296
"Cs14",198,198,198,198
"Cs15",150,150,150,150
"MB1",20563834,20563834,20563834,20563834
"MB2",31107544,31107544,31107544,31107544
"MB3",21854554,21854554,21854554,21854554
"MB4",23241296,23241296,23241296,23241296
"MBC",1344,1344,1344,1344
"MN1",21126014,21126014,21126014,21126014
"MN2",23186062,23186062,23186062,23186062
"MN3",21967938,21967938,21967938,21967938
"MN4",49799662,49799662,49799662,49799662
"MNC",1336,1336,1336,1336
"QB1",42236204,42236204,42236204,42236204
"QB2",22017072,22017072,22017072,22017072
"QB3",1216,1216,1216,1216
"QB4",21106590,21106590,21106590,21106590
"QBC",21873244,21873244,21873244,21873244
"QN1",26495900,26495900,26495900,26495900
"QN2",32184634,32184634,32184634,32184634
"QN3",30319898,30319898,30319898,30319898
"QN4",49928,49928,49928,49928
"QNC",35091334,35091334,35091334,35091334
"C1",23819094,23819094,23819094,23819094
"C2",21312714,21312714,21312714,21312714
"C3",24565344,24565344,24565344,24565344
"C4",22175860,22175860,22175860,22175860
"CS1",62150,62150,62150,62150
"CS2",246236,246236,246236,246236
"CS3",1590298,1590298,1590298,1590298
"CS4",185928,185928,185928,185928
"CbS",276,276,276,276
"CwTip",1462,1462,1462,1462
"M1",21318292,21318292,21318292,21318292
"M2",28796188,28796188,28796188,28796188
"M3",25798260,25798260,25798260,25798260
"M4",29339098,29339098,29339098,29339098
"MS1",14240678,14240678,14240678,14240678
"MS2",181924,181924,181924,181924
"MS3",2313914,2313914,2313914,2313914
"MS4",56694,56694,56694,56694
"MbS",258,258,258,258
"MwTip",274,274,274,274
"S1",21359390,21359390,21359390,21359390
"S2",2669754,2669754,2669754,2669754
